iter	Passed	Remaining
0	1	142
1	2	113
2	3	103
3	3	92
4	4	91
5	5	88
6	6	86
7	7	84
8	8	83
9	9	84
10	10	84
11	11	84
12	12	82
13	13	81
14	14	80
15	15	79
16	16	78
17	16	77
18	17	76
19	18	74
20	19	73
21	20	72
22	21	72
23	22	71
24	23	70
25	24	69
26	25	68
27	26	66
28	27	66
29	27	65
30	28	64
31	29	63
32	30	62
33	31	60
34	32	59
35	33	59
36	34	58
37	35	57
38	35	56
39	36	55
40	37	54
41	38	52
42	39	52
43	40	51
44	41	50
45	42	49
46	43	48
47	44	47
48	45	47
49	46	46
50	47	45
51	48	44
52	49	43
53	49	42
54	50	41
55	51	40
56	52	39
57	53	38
58	54	37
59	55	36
60	56	35
61	57	35
62	58	34
63	59	33
64	60	32
65	60	31
66	61	30
67	62	29
68	63	28
69	64	27
70	65	26
71	66	25
72	67	25
73	68	24
74	70	23
75	71	22
76	72	21
77	73	20
78	74	19
79	75	18
80	76	17
81	77	16
82	78	16
83	79	15
84	80	14
85	80	13
86	81	12
87	82	11
88	83	10
89	84	9
90	85	8
91	86	7
92	87	6
93	88	5
94	89	4
95	90	3
96	91	2
97	92	1
98	92	0
99	93	0
